wall_unix,perf_timestamp,mock,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
1778536219.0202878,1945919.2730176,True,0.011101258069102692,0.18190736749376682,0.9833917671153658,0.4055392019105096,5.199411804214014,6.80538610668275,0.20958864711496436,-0.012719630474032207,0.0
1778536219.0685925,1945919.3213222,True,-0.00701317041168514,0.1749710076498319,0.9830113848279166,1.4168127372280654,7.7598017820364715,7.4745431151622865,0.4743147696350176,0.3629209490851894,0.36105481493192443
1778536219.1151478,1945919.3678793,True,0.03544180663956369,0.20416018206808662,0.991524606027455,0.29239103298993296,6.1977894516203555,8.418828279438026,0.7107225431786584,0.5983401471699719,0.7530110452232261
1778536219.1622655,1945919.4150063,True,0.009197342776087431,0.19407107936745674,0.9954951786851127,0.6631561681111087,6.67382318348592,8.07410610240613,0.9477546172123275,0.8842091012652928,1.1335194439651426
1778536219.206624,1945919.4593652,True,0.05350572517865783,0.21296191753024712,1.0016970490807058,3.4718705973874604,8.500295604515234,7.046988198883517,1.3194447443703563,1.176230736591174,1.4461160891308413
1778536219.252908,1945919.5056494,True,0.05673320481272971,0.21814547120815914,0.9934550165214773,2.8974698960345506,6.404719906946973,7.817597413439755,1.6717824311074716,1.3793638960684234,1.8079473307487408
1778536219.2996585,1945919.5523997,True,0.05563075834976887,0.20325467626789204,1.0028708083893358,3.0470139391641395,7.6948721654353776,7.92824882534266,2.0067463478278924,1.642081681229942,2.1785953425867954
1778536219.3449297,1945919.5976673,True,0.05555798031670192,0.22537461638164685,1.0061958497174668,4.090324934288696,9.198482062059085,7.097024818217604,2.400198041918891,1.9556221759883725,2.4998606223086997
1778536219.391596,1945919.6443189,True,0.06854862903862183,0.2528114157804436,1.0247403035327984,5.512325487766265,7.9045162709121355,7.0465235492212575,2.8807868459146144,2.2035742045293905,2.828592221456038
1778536219.438822,1945919.6915525,True,0.09768210661036175,0.2570065031327766,1.0220046122905222,4.7199037573985105,7.802898330140017,8.27353079868362,3.322733413156781,2.4147748524975645,3.2193808652641125
1778536219.4863784,1945919.7391159,True,0.0915832866913611,0.23940878929081416,1.0026173608515336,5.59724405313174,7.89068147642892,8.37865023308333,3.7847012849584605,2.632736982126606,3.6178979568111513
1778536219.5339782,1945919.7867044,True,0.10998012414866819,0.24610663747738565,1.0054109568935692,6.358871126372522,10.953476660864943,8.35974349761566,4.279084911842089,2.969616615800041,4.015725611871328
1778536219.5803347,1945919.8330755,True,0.12714027306544173,0.25598877566274714,1.0129389532121276,6.385419121587787,10.134113531239487,7.615507814279114,4.765215227114764,3.2319910593605834,4.368865086314314
1778536219.6274507,1945919.8801872,True,0.12789017937085634,0.25164042304185613,1.0368930313872005,5.575992898069105,11.516082254935624,7.379302682594672,5.198199784707942,3.5623446297486843,4.716516579201914
1778536219.6734188,1945919.9261509,True,0.12387406054230646,0.24991286801143797,1.0238812911240927,6.301251005880189,9.221605205035287,8.157835926510758,5.650495675415097,3.772410396981911,5.09148090370086
1778536219.7208467,1945919.9735746,True,0.11745977695569168,0.23207295421425161,1.0023227651717141,8.307868694610924,11.465984753629,8.15876449198965,6.182609240171302,4.099584268304134,5.478399702284746
1778536219.7663403,1945920.0190709,True,0.12183459037555114,0.23378272974486242,1.036846731465386,6.788066810967666,10.8042982658547,7.602555907867214,6.6140571146680065,4.368534688848358,5.824287867363352
1778536219.8131404,1945920.0658776,True,0.10465725270821838,0.22635183697460343,1.0189004061156277,8.494711766159256,10.518944158651264,8.498090361757255,7.120663796865834,4.6491541613881795,6.222055434025954
1778536219.8597693,1945920.112506,True,0.1609838384377142,0.26560506129822464,1.0326875542618168,9.270467574285712,12.368869306747113,8.049026429835575,7.687045526413089,4.94966940821845,6.597368657885448
